Category: All categories

Month,data scientist: (United Kingdom),data engineer: (United Kingdom)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,48
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,81
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,0,0
2005-04,0,0
2005-05,0,50
2005-06,0,0
2005-07,0,25
2005-08,0,0
2005-09,0,0
2005-10,0,0
2005-11,0,21
2005-12,0,22
2006-01,0,0
2006-02,0,0
2006-03,32,16
2006-04,0,0
2006-05,0,0
2006-06,0,0
2006-07,0,0
2006-08,0,16
2006-09,0,0
2006-10,14,14
2006-11,0,0
2006-12,0,0
2007-01,0,0
2007-02,0,0
2007-03,0,11
2007-04,0,0
2007-05,0,0
2007-06,0,21
2007-07,0,10
2007-08,0,11
2007-09,10,20
2007-10,0,18
2007-11,0,17
2007-12,0,20
2008-01,0,8
2008-02,0,0
2008-03,0,0
2008-04,0,8
2008-05,0,8
2008-06,0,0
2008-07,0,8
2008-08,0,26
2008-09,0,16
2008-10,0,0
2008-11,0,8
2008-12,0,16
2009-01,0,21
2009-02,0,0
2009-03,0,0
2009-04,0,14
2009-05,0,6
2009-06,0,25
2009-07,12,0
2009-08,0,0
2009-09,0,6
2009-10,0,22
2009-11,5,11
2009-12,0,0
2010-01,0,10
2010-02,0,5
2010-03,5,0
2010-04,5,0
2010-05,0,5
2010-06,0,11
2010-07,0,15
2010-08,0,0
2010-09,0,10
2010-10,0,5
2010-11,0,13
2010-12,0,10
2011-01,4,11
2011-02,0,8
2011-03,0,4
2011-04,12,16
2011-05,7,7
2011-06,0,4
2011-07,4,4
2011-08,0,11
2011-09,0,3
2011-10,3,0
2011-11,3,9
2011-12,3,13
2012-01,3,9
2012-02,3,18
2012-03,3,12
2012-04,6,12
2012-05,6,0
2012-06,3,12
2012-07,3,15
2012-08,0,6
2012-09,6,0
2012-10,8,13
2012-11,5,13
2012-12,0,11
2013-01,7,19
2013-02,8,8
2013-03,17,5
2013-04,15,10
2013-05,7,10
2013-06,15,15
2013-07,18,10
2013-08,8,15
2013-09,10,30
2013-10,16,14
2013-11,12,9
2013-12,7,5
2014-01,13,13
2014-02,17,2
2014-03,20,9
2014-04,16,9
2014-05,2,28
2014-06,13,8
2014-07,13,13
2014-08,18,5
2014-09,15,17
2014-10,12,12
2014-11,19,24
2014-12,5,15
2015-01,22,22
2015-02,12,15
2015-03,20,18
2015-04,26,7
2015-05,29,7
2015-06,30,5
2015-07,16,11
2015-08,23,16
2015-09,36,9
2015-10,24,6
2015-11,37,4
2015-12,16,16
2016-01,30,13
2016-02,41,16
2016-03,35,24
2016-04,34,20
2016-05,37,11
2016-06,47,16
2016-07,31,21
2016-08,37,7
2016-09,35,17
2016-10,34,23
2016-11,27,13
2016-12,28,14
2017-01,49,8
2017-02,56,13
2017-03,52,22
2017-04,26,17
2017-05,38,25
2017-06,62,20
2017-07,57,11
2017-08,49,19
2017-09,32,19
2017-10,38,20
2017-11,39,12
2017-12,36,15
2018-01,62,21
2018-02,58,32
2018-03,62,37
2018-04,59,34
2018-05,38,8
2018-06,39,45
2018-07,59,26
2018-08,52,20
2018-09,65,17
2018-10,49,38
2018-11,68,30
2018-12,40,15
2019-01,58,23
2019-02,76,35
2019-03,56,30
2019-04,66,27
2019-05,59,29
2019-06,74,22
2019-07,82,37
2019-08,86,47
2019-09,83,54
2019-10,84,42
2019-11,59,58
2019-12,68,39
2020-01,87,38
2020-02,100,53
2020-03,73,34
2020-04,56,41
2020-05,77,39
2020-06,92,41
2020-07,59,45
2020-08,89,55
2020-09,77,45
2020-10,91,63
2020-11,79,41
2020-12,50,33
2021-01,64,31
2021-02,75,56
2021-03,85,56
2021-04,78,53
2021-05,55,53
2021-06,72,65
2021-07,51,32
2021-08,62,82
2021-09,67,49
2021-10,63,30
2021-11,64,44
2021-12,55,41
2022-01,59,54
