year,money,academia,Label,LabelPosition
1981,0,1,Physics,0.5
1982,0,1,,
1983,0,1,,
1984,1,0,,
1985,1,0,,
1986,1,0,,
1987,1,0,,
1988,1,0,,
1989,1,0,,
1990,1,0,,
1991,2,1,6 months of an MBA,2.5
1992,2,0,,
1993,2,0,,
1994,2,0,,
1995,2,0,,
1996,2,0,,
1997,2,0,,
1998,2,0,,
1999,2,0,,
2000,2,0,,
2001,2,0,,
2002,2,0,,
2003,2,0,,
2004,2,0,,
2005,2,0,,
2006,2,0,,
2007,2,0,,
2008,2,0,,
2009,2,0,,
2010,2,0,,
2011,2,1,Masters,3
2012,2,1,,
2013,2,1,Book,1.5
2014,3,0,,
2015,3,1,Book,1.7
2016,4,0,,
2017,4,0,,
2018,4,0,,
2019,4,0,,
2020,1,1,PGCE,0.5
2021,1,1,,
2022,1,1,Lecturer,1.5
